time,open,high,low,close,volume
2025-01-13,9670.0,9840.0,9670.0,9750.0,3325028
2025-01-14,9790.0,9840.0,9630.0,9630.0,2466223
2025-01-15,9710.0,9840.0,9630.0,9840.0,2611936
2025-01-16,9920.0,9920.0,9710.0,9790.0,2710820
2025-01-17,9790.0,9790.0,9670.0,9710.0,2602808
2025-01-20,9710.0,9750.0,9590.0,9590.0,3737059
2025-01-21,9670.0,9670.0,9380.0,9420.0,5408364
2025-01-22,9460.0,9550.0,9340.0,9340.0,3799615
2025-01-23,9380.0,9500.0,9380.0,9460.0,3588458
2025-01-24,9500.0,9500.0,9380.0,9500.0,5917342
2025-02-03,9550.0,9630.0,9500.0,9550.0,3585784
2025-02-04,9590.0,9750.0,9550.0,9710.0,5118738
2025-02-05,9840.0,9840.0,9710.0,9710.0,3445047
2025-02-06,9750.0,9880.0,9710.0,9750.0,2869882
2025-02-07,9790.0,10080.0,9750.0,9880.0,9587146
2025-02-10,9880.0,9920.0,9750.0,9750.0,3343823
2025-02-11,9790.0,9920.0,9750.0,9880.0,3704860
2025-02-12,9880.0,9960.0,9750.0,9840.0,2949162
2025-02-13,9790.0,10120.0,9790.0,10040.0,7206723
2025-02-14,10040.0,10170.0,10000.0,10040.0,3851722
2025-02-17,10120.0,10330.0,10000.0,10120.0,9985221
2025-02-18,10210.0,10250.0,10080.0,10120.0,2382030
2025-02-19,10120.0,10330.0,10120.0,10250.0,7541442
2025-02-20,10290.0,10290.0,10080.0,10080.0,6512275
2025-02-21,10080.0,10290.0,10080.0,10210.0,6172672
2025-02-24,10170.0,10250.0,10120.0,10210.0,3682415
2025-02-25,10250.0,10290.0,10080.0,10120.0,6297292
2025-02-26,10170.0,10170.0,9960.0,10000.0,4524874
2025-02-27,10000.0,10040.0,9840.0,9920.0,6223735
2025-02-28,9960.0,10250.0,9960.0,10120.0,8480686
2025-03-03,10170.0,10370.0,10120.0,10170.0,6078583
2025-03-04,10120.0,10210.0,10000.0,10040.0,5235353
2025-03-05,10080.0,10120.0,9880.0,9880.0,7220715
2025-03-06,9920.0,10000.0,9880.0,10000.0,3486434
2025-03-07,10000.0,10040.0,9920.0,10000.0,3977282
2025-03-10,10040.0,10080.0,9960.0,9960.0,5286593
2025-03-11,9880.0,9960.0,9840.0,9960.0,3275570
2025-03-12,9920.0,10040.0,9920.0,10000.0,4650170
2025-03-13,10000.0,10080.0,9840.0,9880.0,5813986
2025-03-14,9880.0,9920.0,9750.0,9920.0,8343693
2025-03-17,10000.0,10040.0,9920.0,10000.0,3998779
2025-03-18,10080.0,10660.0,10080.0,10660.0,35511604
2025-03-19,10910.0,10910.0,10580.0,10660.0,11090329
2025-03-20,10660.0,10790.0,10460.0,10620.0,10717334
2025-03-21,10540.0,10620.0,10290.0,10290.0,14345188
2025-03-24,10330.0,10540.0,10250.0,10540.0,10269794
2025-03-25,10540.0,11160.0,10460.0,10790.0,25260576
2025-03-26,10870.0,10910.0,10620.0,10740.0,11216246
2025-03-27,10830.0,10830.0,10580.0,10620.0,4894832
2025-03-28,10660.0,10870.0,10580.0,10580.0,8957646
2025-03-31,10540.0,10830.0,10460.0,10580.0,10120614
2025-04-01,10620.0,10790.0,10620.0,10700.0,6551329
2025-04-02,10740.0,10870.0,10580.0,10580.0,6892468
2025-04-03,10170.0,10330.0,9880.0,9880.0,18064917
2025-04-04,9220.0,9590.0,9220.0,9420.0,26896601
2025-04-08,9220.0,9420.0,8800.0,8800.0,18670746
2025-04-09,8200.0,9090.0,8200.0,8210.0,15905484
2025-04-10,8760.0,8760.0,8760.0,8760.0,390752
2025-04-11,9340.0,9340.0,9090.0,9340.0,16298606
2025-04-14,9550.0,9790.0,9460.0,9710.0,9201880
2025-04-15,9710.0,9840.0,9460.0,9750.0,10973562
2025-04-16,9750.0,10040.0,9670.0,9840.0,9442689
2025-04-17,9750.0,9920.0,9710.0,9920.0,6048736
2025-04-18,10000.0,10000.0,9880.0,9920.0,7032094
2025-04-21,10170.0,10170.0,9920.0,10000.0,5946064
2025-04-22,9960.0,10120.0,9340.0,9790.0,17136608
2025-04-23,9920.0,9920.0,9750.0,9880.0,4706074
2025-04-24,9920.0,9960.0,9790.0,9920.0,7389498
2025-04-25,9960.0,9960.0,9750.0,9840.0,6327471
2025-04-28,9880.0,9880.0,9670.0,9710.0,4890898
2025-04-29,9710.0,9920.0,9670.0,9790.0,5414055
2025-05-05,9920.0,10170.0,9750.0,10170.0,12849417
2025-05-06,10210.0,10250.0,10040.0,10080.0,6467580
2025-05-07,10080.0,10790.0,10080.0,10500.0,25027369
2025-05-08,10580.0,10660.0,10460.0,10580.0,9098022
2025-05-09,10660.0,10700.0,10460.0,10540.0,7227301
2025-05-12,10870.0,11030.0,10580.0,10700.0,14925506
2025-05-13,10740.0,10740.0,10580.0,10580.0,8022919
2025-05-14,10620.0,10830.0,10540.0,10660.0,9363916
2025-05-15,10700.0,10740.0,10500.0,10620.0,8516911
2025-05-16,10620.0,10910.0,10580.0,10660.0,11145422
2025-05-19,10660.0,11030.0,10620.0,10660.0,13874446
2025-05-20,10740.0,10910.0,10620.0,10790.0,11712308
2025-05-21,10790.0,10990.0,10740.0,10870.0,12879942
2025-05-22,10870.0,11360.0,10870.0,11240.0,24113159
2025-05-23,11410.0,11410.0,10990.0,11030.0,7543332
2025-05-26,11080.0,11160.0,10700.0,11160.0,11070334
2025-05-27,11240.0,11450.0,11080.0,11160.0,15617999
2025-05-28,11240.0,11280.0,10950.0,11160.0,11539758
2025-05-29,11160.0,11160.0,10950.0,10990.0,7534276
2025-05-30,10950.0,11120.0,10830.0,10830.0,9454222
2025-06-02,10830.0,11200.0,10790.0,11120.0,10460131
2025-06-03,11160.0,11280.0,11030.0,11120.0,8182701
2025-06-04,11200.0,11570.0,11160.0,11200.0,20011940
2025-06-05,11280.0,11320.0,11030.0,11320.0,7808690
2025-06-06,11320.0,11450.0,11080.0,11080.0,9651743
2025-06-09,11120.0,11200.0,10830.0,10830.0,10448480
2025-06-10,10830.0,10950.0,10790.0,10790.0,6347657
2025-06-11,10830.0,10870.0,10660.0,10700.0,6851993
2025-06-12,10740.0,10830.0,10700.0,10790.0,4932832
2025-06-13,10700.0,10740.0,10460.0,10580.0,11598479
2025-06-16,10620.0,10870.0,10620.0,10790.0,7313200
2025-06-17,10740.0,10910.0,10660.0,10910.0,6647269
2025-06-18,10990.0,10990.0,10740.0,10830.0,6150999
2025-06-19,10790.0,10830.0,10620.0,10740.0,5357195
2025-06-20,10740.0,10790.0,10660.0,10790.0,5062101
2025-06-23,10830.0,10950.0,10740.0,10790.0,7198949
2025-06-24,10830.0,10910.0,10740.0,10830.0,5072795
2025-06-25,10870.0,10910.0,10700.0,10740.0,5424142
2025-06-26,10700.0,10790.0,10660.0,10700.0,3560538
2025-06-27,10740.0,10790.0,10620.0,10700.0,4371297
2025-06-30,10740.0,10830.0,10700.0,10740.0,5043513
2025-07-01,10740.0,10790.0,10620.0,10740.0,5077366
2025-07-02,10700.0,10740.0,10620.0,10660.0,4451569
2025-07-03,10740.0,11080.0,10740.0,10950.0,20448151
2025-07-04,10990.0,11240.0,10910.0,11120.0,16609108
2025-07-07,11160.0,11280.0,11030.0,11120.0,11476483
2025-07-08,11120.0,11200.0,10990.0,11120.0,10422690
2025-07-09,11160.0,11410.0,11080.0,11200.0,20502478
2025-07-10,11200.0,11280.0,11120.0,11160.0,10790071
2025-07-11,11200.0,11280.0,11030.0,11120.0,11408298
2025-07-14,11360.0,11690.0,11320.0,11530.0,24380544
2025-07-15,11570.0,11570.0,11320.0,11320.0,12668185
2025-07-16,11320.0,11490.0,11280.0,11360.0,10431809
2025-07-17,11450.0,11610.0,11280.0,11360.0,11339888
2025-07-18,11490.0,11820.0,11280.0,11570.0,22909486
2025-07-21,11690.0,11820.0,11530.0,11530.0,16272464
2025-07-22,11530.0,11570.0,11360.0,11530.0,12538709
2025-07-23,11650.0,11780.0,11490.0,11570.0,15759863
2025-07-24,11650.0,11690.0,11450.0,11570.0,9099686
2025-07-25,11610.0,11980.0,11610.0,11780.0,21353682
2025-07-28,11980.0,12310.0,11780.0,12230.0,24113587
2025-07-29,12480.0,12600.0,11980.0,12030.0,30692189
2025-07-30,12190.0,12270.0,11780.0,11980.0,17779035
2025-07-31,12310.0,12360.0,11900.0,11900.0,15588810
2025-08-01,11900.0,12190.0,11690.0,11780.0,13455662
2025-08-04,11860.0,12270.0,11740.0,12190.0,13375806
2025-08-05,12310.0,12440.0,11570.0,11980.0,27618714
2025-08-06,12150.0,12310.0,11940.0,12190.0,11324948
2025-08-07,12310.0,12360.0,12030.0,12310.0,11387839
2025-08-08,12520.0,12890.0,12360.0,12520.0,23222504
2025-08-11,12690.0,12730.0,12440.0,12480.0,10672124
2025-08-12,12600.0,13350.0,12400.0,13350.0,39628898
2025-08-13,13680.0,13840.0,13350.0,13680.0,21061598
2025-08-14,13800.0,13840.0,13310.0,13550.0,16771284
2025-08-15,13510.0,13510.0,13100.0,13100.0,23819664
2025-08-18,13390.0,13680.0,13140.0,13510.0,15973645
2025-08-19,13720.0,13840.0,13390.0,13390.0,16208186
2025-08-20,13550.0,13550.0,12600.0,13180.0,21392999
2025-08-21,13350.0,13640.0,13100.0,13310.0,13617395
2025-08-22,13180.0,14050.0,12890.0,13640.0,32108188
2025-08-25,13800.0,13800.0,12850.0,13140.0,12175899
2025-08-26,12980.0,13350.0,12890.0,13350.0,12642942
2025-08-27,13390.0,13930.0,13100.0,13550.0,22264686
2025-08-28,13640.0,13720.0,13430.0,13600.0,10981827
2025-08-29,13720.0,13930.0,13510.0,13600.0,14003177
2025-09-03,13720.0,13890.0,13550.0,13680.0,8966408
2025-09-04,13890.0,14420.0,13760.0,13840.0,26160502
2025-09-05,13970.0,14090.0,13350.0,13350.0,16834641
2025-09-08,13390.0,13470.0,12560.0,12560.0,21951771
2025-09-09,12690.0,12850.0,12360.0,12560.0,12461737
2025-09-10,12600.0,12600.0,12400.0,12480.0,6140813
2025-09-11,12440.0,12600.0,12150.0,12520.0,9933464
2025-09-12,12650.0,12850.0,12560.0,12770.0,16852518
2025-09-15,12810.0,13020.0,12730.0,12930.0,26479383
2025-09-16,13020.0,13100.0,12650.0,12770.0,18710622
2025-09-17,12770.0,12850.0,12560.0,12600.0,9478189
2025-09-18,12690.0,12770.0,12520.0,12690.0,6212239
2025-09-19,12730.0,13020.0,12600.0,12650.0,12814413
2025-09-22,12650.0,12690.0,12310.0,12440.0,11596094
2025-09-23,12480.0,12560.0,12360.0,12360.0,5782772
2025-09-24,12440.0,12480.0,12190.0,12480.0,7224806
2025-09-25,12560.0,12730.0,12520.0,12560.0,7911970
2025-09-26,12600.0,12650.0,12360.0,12360.0,9002029
2025-09-29,12400.0,12480.0,12150.0,12190.0,6889149
2025-09-30,12230.0,12310.0,11780.0,11860.0,11436524
2025-10-01,11900.0,12030.0,11860.0,11900.0,5115120
2025-10-02,11940.0,12030.0,11740.0,11740.0,4625599
2025-10-03,11780.0,11780.0,11530.0,11610.0,7184179
2025-10-06,11650.0,11940.0,11650.0,11940.0,5926847
2025-10-07,12110.0,12110.0,11820.0,11820.0,5735555
2025-10-08,11980.0,12030.0,11780.0,11860.0,5086054
2025-10-09,11900.0,12070.0,11740.0,12070.0,6530954
