time,open,high,low,close,volume
2025-01-13,16239.999999999998,16370.000000000002,16160.0,16370.000000000002,5692135
2025-01-14,16370.000000000002,16450.0,16280.000000000002,16370.000000000002,3490524
2025-01-15,16450.0,16710.0,16370.000000000002,16580.0,6070934
2025-01-16,16710.0,16710.0,16540.0,16620.0,5918692
2025-01-17,16660.0,16750.0,16580.0,16750.0,5077138
2025-01-20,16750.0,17040.0,16750.0,16960.0,9731276
2025-01-21,17040.0,17090.0,16830.0,16960.0,5167833
2025-01-22,17000.0,17000.0,16790.0,16830.0,6922757
2025-01-23,16830.0,17300.0,16830.0,17260.0,11919139
2025-01-24,17300.0,17550.0,17170.0,17420.0,8974425
2025-02-03,17260.0,17260.0,16239.999999999998,16960.0,9833157
2025-02-04,17000.0,17300.0,17000.0,17170.0,5993816
2025-02-05,17170.0,17260.0,17130.0,17210.0,3892693
2025-02-06,17380.0,17550.0,17210.0,17260.0,3978459
2025-02-07,17130.0,17510.0,17090.0,17300.0,6642328
2025-02-10,17170.0,17720.0,17090.0,17300.0,11662206
2025-02-11,17510.0,17630.0,17300.0,17420.0,4941748
2025-02-12,17420.0,17470.0,17210.0,17300.0,6350323
2025-02-13,17210.0,17300.0,17170.0,17260.0,6623926
2025-02-14,17420.0,17470.0,17210.0,17260.0,5234157
2025-02-17,17210.0,17340.0,17170.0,17170.0,4424660
2025-02-18,17210.0,17380.0,17170.0,17210.0,6059798
2025-02-19,17210.0,17510.0,17210.0,17340.0,8318073
2025-02-20,17420.0,17420.0,17340.0,17340.0,6880209
2025-02-21,17340.0,17470.0,17300.0,17380.0,7679775
2025-02-24,17380.0,17850.0,17300.0,17550.0,17458033
2025-02-25,17590.0,17720.0,17470.0,17510.0,12549590
2025-02-26,17510.0,17550.0,17380.0,17380.0,8026437
2025-02-27,17340.0,17420.0,17260.0,17420.0,7519672
2025-02-28,17340.0,17630.0,17260.0,17510.0,12883358
2025-03-03,17550.0,17850.0,17550.0,17720.0,18503239
2025-03-04,17630.0,17890.0,17590.0,17800.0,13956788
2025-03-05,17930.0,18060.0,17720.0,17720.0,20979425
2025-03-06,17720.0,17720.0,17420.0,17680.0,13196533
2025-03-07,17630.0,17890.0,17550.0,17680.0,12617193
2025-03-10,17800.0,17890.0,17630.0,17680.0,15169146
2025-03-11,17590.0,17630.0,17470.0,17550.0,8868632
2025-03-12,17720.0,17720.0,17300.0,17300.0,12816097
2025-03-13,17300.0,17380.0,17000.0,17130.0,15743415
2025-03-14,17130.0,17210.0,17040.0,17170.0,5333290
2025-03-17,17300.0,17510.0,17170.0,17300.0,7725691
2025-03-18,17470.0,17470.0,17170.0,17210.0,4849483
2025-03-19,17170.0,17380.0,17130.0,17300.0,9846377
2025-03-20,17420.0,17420.0,17170.0,17210.0,7557321
2025-03-21,17260.0,17300.0,17130.0,17130.0,4427469
2025-03-24,17130.0,17170.0,16500.0,16830.0,25182237
2025-03-25,16920.0,17170.0,16790.0,16920.0,14171074
2025-03-26,17000.0,17040.0,16830.0,16830.0,8919009
2025-03-27,16830.0,16960.0,16790.0,16880.0,4551955
2025-03-28,16880.0,16880.0,16660.0,16710.0,6622660
2025-03-31,16620.0,16750.0,16540.0,16750.0,5210733
2025-04-01,16880.0,16920.0,16750.0,16880.0,5842843
2025-04-02,16960.0,17040.0,16830.0,16830.0,9673260
2025-04-03,16280.000000000002,16500.0,15690.0,15690.0,31996857
2025-04-04,15060.0,15780.0,14680.0,15780.0,21904700
2025-04-08,15190.0,15230.0,14680.0,14680.0,10876576
2025-04-09,13750.0,15270.0,13750.0,14300.0,12084170
2025-04-10,15270.0,15270.0,15270.0,15270.0,646526
2025-04-11,15860.0,15860.0,15360.0,15740.0,16426995
2025-04-14,15740.0,15860.0,15650.0,15820.0,5916627
2025-04-15,15650.0,15820.0,15480.0,15570.0,7083518
2025-04-16,15570.0,15650.0,15360.0,15360.0,5117170
2025-04-17,15360.0,15530.0,15100.0,15190.0,8919096
2025-04-18,15310.0,15570.0,15310.0,15440.0,4873076
2025-04-21,15480.0,15610.0,15440.0,15480.0,5759192
2025-04-22,15350.0,15610.0,14560.0,15350.0,6136130
2025-04-23,15530.0,15610.0,15480.0,15480.0,3560955
2025-04-24,15440.0,15610.0,15390.0,15480.0,2373943
2025-04-25,15440.0,15480.0,15180.0,15220.0,8747752
2025-04-28,15390.0,15440.0,15220.0,15220.0,2034353
2025-04-29,15390.0,15390.0,15220.0,15220.0,1986022
2025-05-05,15390.0,15390.0,15220.0,15390.0,3037443
2025-05-06,15390.0,15480.0,15350.0,15350.0,4159705
2025-05-07,15310.0,15350.0,15220.0,15310.0,2847193
2025-05-08,15310.0,15480.0,15180.0,15440.0,5040414
2025-05-09,15390.0,15440.0,15260.0,15390.0,3022414
2025-05-12,15390.0,15790.0,15390.0,15790.0,7470832
2025-05-13,15880.0,15880.0,15660.0,15830.0,4122798
2025-05-14,15830.0,16140.0,15790.0,16100.000000000002,6586726
2025-05-15,16180.0,16450.0,16050.0,16450.0,9444906
2025-05-16,16270.0,16360.0,15970.0,16050.0,6051981
2025-05-19,16050.0,16140.0,15790.0,15790.0,5943606
2025-05-20,15790.0,16050.0,15790.0,15970.0,4494055
2025-05-21,16140.0,16140.0,15920.0,15970.0,5512266
2025-05-22,15970.0,16100.000000000002,15880.0,15920.0,5519900
2025-05-23,15920.0,16050.0,15920.0,15970.0,3964383
2025-05-26,16010.000000000002,16050.0,15700.0,16010.000000000002,4410964
2025-05-27,16050.0,16450.0,16050.0,16360.0,12318268
2025-05-28,16360.0,16490.0,16140.0,16180.0,4097833
2025-05-29,16230.0,16270.0,16050.0,16050.0,3604445
2025-05-30,16010.000000000002,16140.0,15700.0,15700.0,7604836
2025-06-02,15700.0,15880.0,15610.0,15830.0,3054965
2025-06-03,15920.0,15970.0,15790.0,15880.0,4977410
2025-06-04,15920.0,15970.0,15830.0,15880.0,4556506
2025-06-05,15830.0,15970.0,15790.0,15790.0,3913312
2025-06-06,15750.0,15830.0,15660.0,15660.0,3310715
2025-06-09,15660.0,15750.0,15610.0,15660.0,2081685
2025-06-10,15790.0,15830.0,15660.0,15660.0,2180131
2025-06-11,15660.0,15750.0,15570.0,15610.0,2218953
2025-06-12,15750.0,15790.0,15660.0,15790.0,3505379
2025-06-13,15750.0,16010.000000000002,15660.0,15700.0,6511978
