time,open,high,low,close,volume
2025-02-17,9540.0,9580.0,9460.0,9500.0,5756680
2025-02-18,9500.0,9670.0,9500.0,9540.0,7394409
2025-02-19,9540.0,9620.0,9500.0,9580.0,7072062
2025-02-20,9620.0,9670.0,9580.0,9620.0,4635911
2025-02-21,9620.0,9670.0,9540.0,9620.0,6497225
2025-02-24,9580.0,9710.0,9580.0,9620.0,5034896
2025-02-25,9670.0,9710.0,9580.0,9620.0,6877301
2025-02-26,9620.0,9670.0,9500.0,9540.0,7636453
2025-02-27,9540.0,9580.0,9420.0,9500.0,7383741
2025-02-28,9500.0,9500.0,9420.0,9460.0,5948936
2025-03-03,9460.0,9500.0,9420.0,9460.0,4779860
2025-03-04,9460.0,9540.0,9370.0,9500.0,7668622
2025-03-05,9500.0,9620.0,9420.0,9420.0,8377413
2025-03-06,9460.0,9540.0,9420.0,9540.0,5448499
2025-03-07,9580.0,9920.0,9540.0,9870.0,27774757
2025-03-10,9960.0,9960.0,9750.0,9830.0,9711500
2025-03-11,9750.0,9790.0,9670.0,9790.0,9253981
2025-03-12,9830.0,9870.0,9670.0,9710.0,8621845
2025-03-13,9710.0,9710.0,9500.0,9500.0,11123573
2025-03-14,9500.0,9750.0,9460.0,9670.0,9778079
2025-03-17,9750.0,10330.0,9710.0,10080.0,30004612
2025-03-18,10080.0,10120.0,9870.0,10000.0,8540611
2025-03-19,9960.0,10080.0,9870.0,10080.0,10851536
2025-03-20,10120.0,10170.0,9790.0,9870.0,9321530
2025-03-21,9870.0,9960.0,9830.0,9830.0,6335768
2025-03-24,9830.0,9920.0,9670.0,9920.0,7246009
2025-03-25,10000.0,10080.0,9790.0,9920.0,6875088
2025-03-26,9920.0,9960.0,9790.0,9830.0,4749557
2025-03-27,9790.0,9870.0,9750.0,9830.0,3957379
2025-03-28,9830.0,9960.0,9790.0,9870.0,6431674
2025-03-31,9830.0,10210.0,9790.0,10170.0,22260339
2025-04-01,10170.0,10210.0,10040.0,10170.0,6939472
2025-04-02,10210.0,10250.0,10040.0,10040.0,6277111
2025-04-03,9670.0,9750.0,9370.0,9370.0,23737481
2025-04-04,8750.0,9170.0,8750.0,9120.0,23927177
2025-04-08,8750.0,8870.0,8500.0,8500.0,15398853
2025-04-09,7920.0,8580.0,7920.0,8330.0,16474188
2025-04-10,8920.0,8920.0,8920.0,8920.0,1364972
2025-04-11,9000.0,9250.0,8830.0,9210.0,17396514
2025-04-14,9250.0,9290.0,9120.0,9250.0,8116032
2025-04-15,9170.0,9250.0,9040.0,9040.0,8823584
2025-04-16,9040.0,9170.0,9000.0,9040.0,6347683
2025-04-17,9000.0,9120.0,8960.0,9080.0,4263331
2025-04-18,9120.0,9370.0,9120.0,9290.0,12212024
2025-04-21,9290.0,9420.0,9250.0,9290.0,9845296
2025-04-22,9250.0,9370.0,8790.0,9250.0,21061233
2025-04-23,9370.0,9540.0,9370.0,9460.0,9644541
2025-04-24,9500.0,9500.0,9330.0,9460.0,5006940
2025-04-25,9460.0,9460.0,9370.0,9420.0,6099166
2025-04-28,9460.0,9500.0,9330.0,9370.0,2433974
2025-04-29,9370.0,9370.0,9330.0,9330.0,2329869
2025-05-05,9370.0,9460.0,9330.0,9370.0,3343837
2025-05-06,9370.0,9460.0,9330.0,9370.0,4940319
2025-05-07,9370.0,9420.0,9290.0,9330.0,8952589
2025-05-08,9330.0,9500.0,9330.0,9460.0,8402215
2025-05-09,9500.0,9500.0,9370.0,9420.0,3420277
2025-05-12,9460.0,9540.0,9370.0,9500.0,8579773
2025-05-13,9580.0,9580.0,9500.0,9540.0,6964556
2025-05-14,9540.0,9670.0,9540.0,9620.0,11001352
2025-05-15,9670.0,10000.0,9670.0,10000.0,21072624
2025-05-16,10000.0,10040.0,9750.0,9790.0,9437742
2025-05-19,9750.0,9870.0,9670.0,9710.0,6595744
2025-05-20,9750.0,9960.0,9670.0,9870.0,12944073
2025-05-21,9960.0,10040.0,9750.0,9870.0,12525379
2025-05-22,9870.0,9870.0,9710.0,9710.0,7878529
2025-05-23,9710.0,9790.0,9670.0,9670.0,4066238
2025-05-26,9710.0,9750.0,9580.0,9710.0,7941588
2025-05-27,9790.0,9920.0,9710.0,9750.0,5601117
2025-05-28,9830.0,9830.0,9670.0,9710.0,6684518
2025-05-29,9750.0,9830.0,9710.0,9750.0,4854479
2025-05-30,9750.0,9790.0,9620.0,9620.0,5159554
2025-06-02,9620.0,9670.0,9580.0,9620.0,5759685
2025-06-03,9710.0,9920.0,9670.0,9830.0,9301914
2025-06-04,9830.0,9920.0,9750.0,9790.0,6217578
2025-06-05,9790.0,9790.0,9670.0,9710.0,4968979
2025-06-06,9710.0,9790.0,9670.0,9670.0,7667643
2025-06-09,9670.0,9710.0,9580.0,9620.0,4388060
