Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,buy_only_0_sig,%_vol_increase,vol_boom,signal,sell_only_0_sig,regime,prev_regime,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
ACB,2021-04-29,12680.0,13000.0,12610.0,13000.0,16646300,False,12784.0,,57.70391122628708,4.083266613290637,8107200.0,1,105.33,True,1,1,1,-1.0,0.46153846153846156,4.461538461538462,5.461538461538462,19.46153846153846
ACB,2021-05-05,12980.0,13450.0,12980.0,13240.0,17558400,False,12807.5,,61.48433439135525,4.416403785488954,8230845.0,1,113.32,True,1,0,1,1.0,2.56797583081571,2.416918429003021,3.7009063444108756,26.3595166163142
ACB,2021-07-30,16090.0,16950.0,16090.0,16950.0,35156000,False,15991.0,16069.0,59.73632731188189,9.0032154340836,10226920.0,1,243.76,True,1,0,1,1.0,-1.7699115044247788,-1.6519174041297935,-2.1828908554572273,-12.15339233038348
ACB,2021-10-29,14940.0,15480.0,14890.0,15480.0,13597100,False,14946.5,14993.0,61.531811395143265,6.100068540095949,4665540.0,1,191.44,True,1,0,1,1.0,2.5839793281653747,1.4857881136950903,1.03359173126615,4.844961240310078
ACB,2021-11-03,15620.0,15990.0,15590.0,15880.0,13060100,False,15084.5,14981.8,66.6639006092965,2.5839793281653645,5339040.0,1,144.62,True,1,0,1,1.0,-1.385390428211587,-1.385390428211587,-1.63727959697733,-1.070528967254408
ACB,2021-11-24,15900.0,16630.0,15830.0,16580.0,14295800,False,15651.0,15190.0,68.95073058385164,5.672402804333965,6755430.0,1,111.62,True,1,0,1,1.0,-3.3775633293124248,-5.247285886610374,-6.393244873341375,-7.478890229191798
ACB,2022-01-24,15710.0,16370.000000000002,15710.0,16110.0,13185100,False,15680.5,15662.8,62.269742375305114,4.069767441860472,4985455.0,1,164.47,True,1,0,1,1.0,1.6139044072005078,0.9931719428926132,-0.9931719428926132,-1.303538175046555
ACB,2022-02-08,16270.0,16880.0,16270.0,16770.0,32461200,False,15840.0,15758.8,67.28095753947622,2.443494196701268,7201875.0,1,350.73,True,1,0,1,1.0,-0.17889087656529518,-3.5181872391174713,-2.9815146094215863,-8.825283243887895
ACB,2022-04-07,15660.0,16020.0,15590.0,15760.0,9648900,False,15446.0,15821.8,55.62314999578308,0.3182686187142014,3939585.0,1,144.92,True,1,0,1,1.0,0.12690355329949238,-0.1903553299492386,-3.8705583756345177,-8.375634517766498
ACB,2022-04-08,15800.0,15950.0,15780.0,15880.0,8904400,False,15473.0,15825.6,58.49560082121692,2.5839793281653645,4249060.0,1,109.56,True,1,0,1,1.0,-0.1889168765743073,-3.1486146095717884,-9.949622166246852,-6.675062972292191
