Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,buy_only_0_sig,signal,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
ACB,2022-05-13,14020.0,14210.0,12900.0,12900.0,6142600,False,14724.5,15192.4,28.94251269522283,-10.664819944598335,4409470.0,1,1,5.271317829457364,5.5813953488372094,15.58139534883721,14.496124031007751
ACB,2022-05-16,12970.0,13460.0,12900.0,12940.0,5137600,False,14579.0,15142.6,29.5759533076774,-12.685560053981105,4421315.0,1,1,3.6321483771251932,3.091190108191654,15.765069551777433,8.268933539412673
ACB,2022-09-16,13780.0,13840.0,13540.0,13570.0,2125534,False,14276.5,14313.8,26.948701529662838,-2.7240143369175573,2545263.75,1,1,-2.3581429624170966,-2.3581429624170966,-4.126750184229919,-9.948415622697127
ACB,2022-09-19,13570.0,13600.0,13310.0,13400.0,2564500,False,14209.5,14298.6,24.014245715055864,-2.7576197387518153,2374413.75,1,1,-0.22388059701492538,-2.9104477611940296,-5.522388059701493,-8.358208955223882
ACB,2022-09-20,13420.0,13450.0,13250.0,13420.0,1912949,False,14152.0,14285.6,25.04828505562652,-2.824040550325846,2374611.2,1,1,-1.2667660208643814,-2.1609538002980626,-8.271236959761548,-6.482861400894188
ACB,2022-09-21,13400.0,13400.0,13250.0,13250.0,1295851,False,14092.0,14275.0,22.273684005701266,-2.358142962417098,2327438.75,1,1,-1.8113207547169812,-2.6415094339622645,-8.0,-6.6415094339622645
ACB,2022-09-22,13190.0,13370.0,13190.0,13370.0,1831367,False,14033.5,14261.0,28.310335515302796,-0.2238805970149249,2299757.1,1,1,-1.795063575168287,-3.5153328347045627,-12.341062079281974,-6.3575168287210175
ACB,2022-09-23,13280.0,13450.0,13250.0,13250.0,1469851,False,13967.5,14244.6,26.125228077792105,-1.266766020864385,2238004.65,1,1,-2.6415094339622645,-1.8113207547169812,-17.50943396226415,-9.735849056603774
ACB,2022-09-26,13130.0,13190.0,12780.0,13010.0,4550765,False,13885.0,14222.8,22.4011941571389,-1.811320754716983,2283952.9,1,1,-0.8455034588777863,-2.690238278247502,-15.757109915449655,-12.144504227517295
ACB,2022-09-27,13010.0,13160.0,12960.0,13130.0,1472619,False,13814.5,14204.0,27.93273668490438,-1.7950635751682875,2163648.85,1,1,-0.913937547600914,-6.245239908606245,-21.85833968012186,-8.91089108910891
ACB,2022-09-28,12930.0,13040.0,12870.0,12900.0,2515887,False,13740.0,14181.8,24.349952781187504,-2.6415094339622636,2128528.2,1,1,-1.8604651162790697,-5.503875968992248,-15.038759689922482,-6.124031007751938
ACB,2022-09-29,12980.0,12980.0,12840.0,12900.0,3857767,False,13665.5,14159.6,24.349952781187504,-0.8455034588777832,2220596.55,1,1,-4.573643410852713,-9.147286821705427,-9.30232558139535,0.23255813953488372
ACB,2022-09-30,12900.0,13160.0,12810.0,13010.0,4224536,False,13593.5,14134.8,29.374564228002235,-0.9139375476009182,2333473.35,1,1,-6.3028439661798625,-15.987701767870869,-6.072252113758648,0.4611837048424289
ACB,2022-10-03,12930.0,13070.0,12490.0,12660.0,3661299,False,13508.5,14099.0,23.928642615503563,-1.8604651162790753,2401153.3,1,1,-7.424960505529225,-13.428120063191153,-3.0015797788309637,3.7124802527646126
ACB,2022-10-04,12720.0,12870.0,12310.0,12310.0,3474571,False,13401.5,14059.8,19.946236082366518,-4.573643410852712,2454621.85,1,1,-11.210398050365557,-16.653127538586514,1.949634443541836,6.9049553208773355
ACB,2022-10-05,12370.0,12570.0,12190.0,12190.0,3258561,False,13298.5,14021.6,18.791489666576503,-6.302843966179861,2456829.9,1,1,-10.090237899917966,-10.090237899917966,1.4766201804757997,4.8400328137817885
ACB,2022-10-06,12220.0,12430.0,11720.0,11720.0,2851382,False,13181.0,13974.0,15.10339852348784,-7.424960505529221,2495364.0,1,1,-12.457337883959044,-0.17064846416382254,6.825938566552901,6.825938566552901
ACB,2022-10-07,11460.0,11670.0,10900.0,10930.0,8488826,False,13024.0,13908.8,11.144227100729696,-11.210398050365555,2808410.3,1,1,0.2744739249771272,11.802378774016468,9.423604757548034,8.051235132662397
ACB,2022-10-10,10670.0,11200.0,10670.0,10960.0,6476351,False,12876.0,13841.4,12.086687509083111,-10.090237899917964,3061419.7,1,1,6.751824817518248,12.043795620437956,4.288321167883212,10.492700729927007
ACB,2022-10-11,10960.0,10960.0,10230.0,10260.0,6437148,False,12691.5,13758.2,9.543184503271727,-12.457337883959042,3308943.9,1,1,19.103313840155945,22.319688109161792,16.569200779727094,21.734892787524366
ACB,2022-10-12,10490.0,10960.0,10430.0,10960.0,3369758,False,12550.5,13684.2,26.25558327070394,0.2744739249771255,3371732.0,1,1,12.043795620437956,12.864963503649635,10.492700729927007,10.948905109489052
ACB,2025-04-03,21010.0,21180.0,20180.0,20180.0,39712531,False,21802.0,21596.2,20.83224852043374,-7.090239410681399,9096113.3,1,1,-9.762140733399406,2.8741328047571852,1.4370664023785926,-0.6442021803766105
ACB,2025-04-04,18970.0,19880.0,18800.0,19880.0,72266023,False,21682.5,21576.8,18.630727467870713,-8.639705882352944,12173762.5,1,1,-2.062374245472837,4.225352112676056,1.30784708249497,1.5090543259557343
ACB,2025-04-08,19300.0,19470.0,18510.0,18510.0,43698654,False,21503.0,21529.2,12.259303666426728,-14.621771217712176,13933578.65,1,1,12.155591572123177,8.806050783360346,8.806050783360346,9.02215018908698
ACB,2025-04-09,17340.0,19090.0,17340.0,18210.0,36870654,False,21308.5,21476.4,11.344403480298476,-9.762140733399406,15319725.95,1,1,13.783635365183965,11.477210323997804,12.850082372322898,11.971444261394838
ACB,2026-03-09,22100.0,22650.0,21700.0,21700.0,35451400,False,23587.5,24099.0,27.711935639255785,-6.465517241379315,16077040.0,1,1,,,,
BCM,2021-04-15,52970.0,52970.0,48870.0,48870.0,61000,False,52892.0,,24.162038006309054,-6.754436176302237,23980.0,1,1,8.389605074687948,6.670759156947002,6.670759156947002,2.864743196234909
BCM,2021-05-20,50180.0,50180.0,48690.0,49810.0,65400,False,51471.0,,29.815152408792827,-0.9150586831112029,54400.0,1,1,3.5334270226862077,0.0,-2.810680586227665,2.790604296326039
BCM,2021-05-21,49340.0,49340.0,48130.0,49060.0,34600,False,51275.5,,25.357791353296477,-2.4070021881838044,54500.0,1,1,5.116184264166327,2.4663677130044843,-1.3249082755809212,4.362005707297187
BCM,2021-06-07,48410.0,48410.0,47480.0,47660.0,13100,False,49940.0,51503.2,29.88062454749069,-1.5492666804379218,35400.0,1,1,-1.95132186319765,3.5249685270667226,6.4624422996223245,5.4762903902643725
BCM,2021-06-08,48410.0,48410.0,47480.0,47570.0,22800,False,49772.5,51415.6,29.465195414704652,-1.7351786820904769,31250.0,1,1,1.765818793357158,7.630859785579148,7.25247004414547,5.486651250788312
BCM,2021-06-09,47570.0,47570.0,46450.0,46730.0,22000,False,49563.0,51289.0,25.852500457358644,-3.4703573641809538,28470.0,1,1,5.585277123903274,9.372993794136528,8.773806976246522,6.976246522576503
BCM,2021-06-10,46730.0,47480.0,46730.0,46730.0,8700,False,49362.5,51153.0,25.852500457358644,-1.9513218631976526,23185.0,1,1,9.565589557029746,9.565589557029746,8.773806976246522,6.976246522576503
BCM,2021-07-12,47110.0,47480.0,47010.0,47010.0,12300,False,50443.0,50127.2,23.88212991371945,-5.961192238447688,21105.0,1,1,-10.402042118698148,-19.400127632418634,-17.974898957668582,-6.360348861944268
BCM,2021-07-14,45290.0,45620.0,45290.0,45290.0,83700,False,50026.5,49917.8,27.542125424080844,-9.07448303553503,23500.0,1,1,-16.33914771472731,-19.43033782291897,-15.78714948112166,-7.595495694413777
BCM,2021-07-15,42120.0,42120.0,42120.0,42120.0,27400,False,49572.5,49713.8,20.664939773945818,-10.402042118698152,23890.0,1,1,-11.372269705603038,-7.336182336182335,-7.336182336182335,0.4748338081671415
BCM,2021-07-16,39190.0,41890.0,39190.0,40120.0,315600,False,49018.5,49477.2,17.667539253766545,-17.601150133497633,38440.0,1,1,-9.047856430707876,-2.3678963110667994,-2.0189431704885346,3.389830508474576
BCM,2021-07-19,39100.0,39940.0,37890.0,37890.0,50200,False,48376.0,49211.0,15.046848720849063,-16.33914771472731,39075.0,1,1,3.008709422011085,1.7682765901293216,3.747690683557667,10.451306413301662
BCM,2021-07-20,37330.0,37380.0,36310.0,37330.0,88300,False,47691.5,48939.2,14.46652317397451,-11.372269705603044,42580.0,1,1,4.9290115188856145,3.8039110634878117,5.304045004018216,12.108223948566836
BCM,2021-07-21,35840.0,37610.0,35840.0,36490.0,87100,False,46974.5,48650.6,13.618088830495049,-9.04785643070788,46495.0,1,1,5.6727870649493015,4.521786790901617,7.481501781309947,15.976979994519047
BCM,2021-07-22,37480.0,39030.0,36300.0,39030.0,77300,False,46384.5,48416.4,27.470031235973853,3.00870942201108,49045.0,1,1,-0.7173968741993338,0.0,0.7173968741993338,9.633615167819626
