Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,common_0_sig,signal,prev_rsi,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
ACB,2022-05-17,12940.0,13760.0,12900.0,13720.0,2617900,False,14478.5,15103.2,40.680758452733635,-0.8670520231213841,4282805.0,1,1,29.5759533076774,-0.7288629737609329,-1.530612244897959,7.871720116618077,2.988338192419825
ACB,2022-10-13,10960.0,11700.0,10850.0,11700.0,3904225,False,12445.0,13626.2,39.07117494273931,6.751824817518237,3487187.35,1,1,26.25558327070394,7.264957264957266,7.0085470085470085,10.512820512820513,0.17094017094017094
ACB,2025-04-10,19470.0,19470.0,19470.0,19470.0,998409,False,21183.5,21450.6,33.71806507227211,-2.062374245472842,14979460.95,1,1,11.344403480298476,3.4411915767847976,4.26296866974833,3.6466358500256804,5.546995377503852
ACB,2026-03-10,22550.0,23200.0,22000.0,23150.0,23159600,False,23560.0,24084.0,45.11514522923348,-1.698513800424628,16352035.0,1,1,27.711935639255785,,,,
BCM,2021-04-16,52230.0,52230.0,51670.0,52230.0,36800,False,52808.5,,46.538429477122826,-0.34344590726960167,24955.0,1,1,24.162038006309054,-0.19146084625694046,-0.19146084625694046,0.17231476163124643,-3.924947348267279
BCM,2021-05-24,49340.0,51570.0,49340.0,51570.0,41600,False,51247.5,,51.49364004697813,2.770027899561578,55575.0,1,1,25.357791353296477,-3.4128369206903235,-4.324219507465581,-7.581927477215435,-1.6094628660073687
BCM,2021-06-11,46730.0,48410.0,46550.0,48410.0,34600,False,49251.0,51045.0,42.270467223672426,1.7658187933571545,23825.0,1,1,25.852500457358644,5.577360049576534,5.763272051229085,4.998967155546374,2.8919644701507954
BCM,2021-07-13,47010.0,48690.0,44680.0,48690.0,47300,False,50317.5,50058.4,41.19650394270257,-2.6005201040208092,20140.0,1,1,23.88212991371945,-17.60115013349764,-23.33127952351612,-20.414869583076605,-11.43972068186486
BCM,2021-07-29,38090.0,39030.0,38090.0,39030.0,229600,False,43406.5,47266.0,31.653772578420973,1.2188796680497882,65905.0,1,1,26.691382730612652,0.7173968741993338,0.7173968741993338,8.429413271842174,6.994619523443505
BCM,2022-11-16,66770.0,71640.0,66100.0,71450.0,103056,False,74748.0,81227.4,36.074623252302736,1.6358463726884764,96245.05,1,1,25.085776267224425,2.2673198040587823,0.26592022393282017,8.01959412176347,6.941917424772568
BCM,2023-04-17,76320.0,76320.0,75080.0,75840.0,54905,False,77628.5,79204.4,30.191537052822287,-0.7459756576364329,87828.4,1,1,28.988413894471783,0.0,-0.3691983122362869,-1.6350210970464136,-1.1339662447257384
BCM,2023-04-20,75940.0,75940.0,75270.0,75840.0,25102,False,77279.5,78916.0,32.515670839118584,0.0,76818.15,1,1,29.733494065697876,-0.8834388185654009,-1.1339662447257384,-2.1360759493670884,-3.401898734177215
BCM,2023-04-28,74890.0,75170.0,74410.0,75170.0,27400,False,76271.5,78251.2,30.146661442635835,0.0,56223.85,1,1,26.61509822495627,-0.7582812292137822,-1.396833843288546,-1.5165624584275643,-0.8913130238126912
BCM,2023-05-18,74220.0,74980.0,73740.0,74980.0,34208,False,74796.0,76873.8,45.29881085877971,1.4202624103881956,48653.0,1,1,26.380287141703608,-2.2939450520138704,-1.4003734329154442,-1.0136036276340359,1.907175246732462
BCM,2023-05-24,73260.0,73550.0,72780.0,73550.0,23800,False,74423.0,76359.8,33.6918729359311,-1.15575863459213,50562.75,1,1,29.18436537353112,1.0333106730115567,1.291638341264446,3.3718558803535013,6.621346023113528
BCM,2023-08-28,63620.0,66480.0,63620.0,66290.0,380826,False,69594.5,73789.2,35.73321914141218,2.505025514148751,236604.95,1,1,19.483620253179918,4.0277568260672805,2.59465982802836,2.308040428420576,-4.616080856841152
BCM,2023-10-20,60180.0,61700.0,59220.0,61700.0,171525,False,64131.5,66091.2,37.365172380235094,0.6196999347684251,192484.05,1,1,28.39183157782856,-3.0956239870340356,-8.654781199351703,-9.432739059967584,-4.943273905996758
BCM,2023-11-06,55400.0,56740.0,55110.0,56740.0,263854,False,59832.5,63812.0,33.13045179828002,2.4187725631768853,211459.15,1,1,27.779580599625746,2.696510398308072,0.6697215368346845,3.3662319351427565,1.0222065562213607
BCM,2023-11-08,55020.0,56930.0,54640.0,56930.0,285020,False,58906.0,63466.2,37.49783968989005,1.8790264853256966,222239.9,1,1,29.936358918923617,0.3337431933953978,4.022483751976111,0.5093975057087651,12.2431055682417
BCM,2024-04-12,58770.0,59060.0,57800.0,59060.0,950990,False,61851.5,62618.2,34.68641526814594,-1.3034759358288794,738844.6,1,1,29.69700310595764,-10.971892990179478,-13.596342702336607,-11.462919065357264,-4.740941415509651
