Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,common_0_sig,signal,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
ACB,2021-10-04,14680.0,14730.0,14350.0,14540.0,5659000,False,14878.0,15563.6,37.269968004935876,-1.0884353741496544,4712420.0,1,1,0.6189821182943603,5.15818431911967,3.2324621733149934,5.502063273727647
ACB,2022-11-15,11870.0,11990.0,11200.0,11200.0,6566069,False,12276.0,12586.4,38.91921716489289,-4.436860068259385,4379764.4,1,1,10.714285714285714,6.517857142857143,15.892857142857142,20.625
ACB,2024-11-04,20890.0,20930.0,20600.0,20680.0,9123996,False,21340.5,21067.4,39.407648594645394,-1.3829279923700533,8154723.35,1,1,1.402321083172147,0.3868471953578337,-1.0154738878143132,1.5957446808510638
ACB,2025-12-12,24050.0,24100.0,23500.0,23500.0,13924900,False,24387.5,25129.0,32.762878504388844,-2.4896265560165998,9002790.0,1,1,2.127659574468085,1.702127659574468,1.702127659574468,5.957446808510639
BCM,2021-06-09,47570.0,47570.0,46450.0,46730.0,22000,False,49563.0,51289.0,25.90959842225866,-3.4703573641809538,28470.0,1,1,5.585277123903274,9.372993794136528,8.773806976246522,6.976246522576503
BCM,2022-07-08,56860.0,58000.0,55440.0,55820.0,126600,False,60587.5,67113.2,32.964333983126565,-4.98723404255319,135330.0,1,1,3.5650304550340377,6.61053385883196,12.898602651379434,32.42565388749552
BCM,2022-10-11,83580.0,83580.0,78610.0,78610.0,84042,False,86957.5,82591.2,39.59996812385872,-6.793929333649517,223805.75,1,1,3.282025187635161,4.503243862104058,-0.3561887800534283,-9.235466225671034
BCM,2023-05-23,73550.0,73930.0,73260.0,73260.0,50550,False,74523.5,76489.6,29.18436537353112,-2.2939450520138682,50742.85,1,1,0.9145509145509146,1.6926016926016925,1.5697515697515696,6.920556920556921
BCM,2024-11-19,66250.0,66250.0,62910.0,62910.0,295292,False,65135.5,66504.0,34.88934585829681,-6.703247812546342,247031.0,1,1,2.813543156890808,3.2904148783977223,3.751390875854384,5.9450007947862025
BID,2022-05-13,24510.0,24660.0,23060.0,23060.0,2353900,False,26789.5,29254.8,27.601088434453374,-11.20523681170581,1888320.0,1,1,9.757155247181267,8.49956634865568,11.014744145706851,6.287944492627926
BID,2023-06-19,31770.0,31800.0,31400.0,31400.0,796594,False,31862.5,32128.0,40.373270582733475,-1.5982450642431867,968153.8,1,1,1.5286624203821657,2.324840764331222,2.7707006369426868,6.719745222929936
BID,2023-10-18,29950.0,29990.0,29010.0,29010.0,1456482,False,31158.5,32710.0,27.222076643984888,-5.872809863724859,968623.95,1,1,0.7583591864874182,1.8958979662185453,0.0,10.375732506032415
BVH,2021-05-20,46050.0,46220.0,45010.0,45700.0,1023200,False,48602.5,,32.11135295149491,-3.300888700804061,865215.0,1,1,4.5514223194748356,6.258205689277899,3.982494529540481,17.439824945295403
